6,2,4,1289241911.72836
6,5,2,1289241941.53378
1,15,1,1289243140.39049
4,3,7,1289245277.36975
13,16,8,1289254254.44746
13,10,8,1289254300.79514
7,5,1,1289362700.47913
2,21,5,1289370556.80938
2,20,5,1289370622.21473
21,2,5,1289380981.52787
21,1,8,1289441411.46365
21,10,8,1289441438.4426
21,8,9,1289441450.59006
21,3,7,1289441525.73831
17,3,5,1289442313.03711
17,23,1,1289489668.48486
10,1,8,1289555656.32898
10,6,7,1289555731.22217
10,21,8,1289555745.64663
10,8,1,1289555767.7095
10,25,10,1289555841.66508
10,2,7,1289555871.04233
10,3,7,1289555875.70958
4,26,1,1289641693.99029
26,4,1,1289641703.57785
5,1,3,1289660298.87048
5,6,3,1289660319.00982
5,7,1,1289660347.43795
1,5,4,1289710643.19963
6,4,2,1289770700.4293
4,6,5,1289770756.50297
2,4,5,1289771303.53929
17,28,1,1289836081.52099
17,13,2,1289873367.89538
13,17,2,1289873611.94452
13,29,2,1290088212.27332
29,13,2,1290090118.30882
17,20,2,1290108486.68868
4,31,1,1290197549.13082
31,4,2,1290197554.48422
32,6,1,1290300441.66925
13,1,8,1290520563.53596
7,34,1,1290644457.56157
34,7,1,1290644477.40213
32,1,1,1290666928.42163
1,32,1,1290666953.43175
1,34,1,1290750434.01249
34,1,1,1290752776.47886
34,13,1,1290758643.30207
13,34,1,1290761556.7369
6,7,5,1290826367.17211
7,6,3,1290826591.42034
1,17,9,1290969236.78019
1,31,2,1291052764.71454
31,1,3,1291055972.91439
35,6,2,1291056174.72596
1,13,3,1291090930.69481
36,37,1,1291157823.29216
37,36,1,1291159845.12556
35,1,1,1291159911.11891
17,1,9,1291217882.28299
8,1,3,1291315232.33698
7,29,2,1291376109.62385
1,20,2,1291505266.30993
37,44,1,1291515528.23159
44,37,1,1291515697.49227
39,45,1,1291578872.19781
39,7,3,1291590274.45619
39,44,1,1291591178.25959
44,39,1,1291591211.84395
23,17,1,1291623781.12772
23,19,1,1291623787.90955
36,46,1,1291684579.71178
46,36,1,1291684612.11599
47,1,2,1291740270.94728
13,7,1,1291757016.29721
7,13,1,1291757031.50303
29,51,1,1292070534.03952
51,29,1,1292071378.89261
29,52,1,1292085236.69986
52,29,1,1292085280.0736
45,39,2,1292099160.9751
45,53,2,1292189306.47485
53,45,2,1292189412.5311
45,54,2,1292193828.31273
54,45,2,1292195062.40986
1,54,1,1292196392.21474
54,1,1,1292196407.13906
7,3,6,1292200462.1576
36,41,2,1292206237.08404
41,36,2,1292206272.45044
36,21,2,1292297572.76433
21,36,2,1292297608.09604
7,36,3,1292361185.86524
36,7,4,1292361298.90511
7,53,4,1292442401.75654
53,7,4,1292442432.71184
7,55,1,1292447857.20632
55,7,1,1292490376.23637
29,7,2,1292716197.42619
